objectid,filename,image_thumb,title,date,field-date,theatre-name,playwright,subject,source,location,url,rights,rightsstatement
BP_TRDL_0002,https://archive.org/details/BP_TRDL_0002/mode/2up?view=theater,https://archive.org/services/img/BP_TRDL_0002,The School for Scandal; Who's the Dupe?,1779-05-20,1779-05-20,Theatre Royal in Drury Lane,[unknown]; [unknown],[unknown]; [farce],"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_05",https://archive.org/details/BP_TRDL_0002,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRDL_0001,https://archive.org/details/BP_TRDL_0001/mode/2up?view=theater,https://archive.org/services/img/BP_TRDL_0001,"The Reparation; Harlequin Junior; Or, The Magic Circus",1784-02-26,1784-02-26,Theatre Royal in Drury Lane,[unknown]; [unknown],comedy; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_05",https://archive.org/details/BP_TRDL_0001,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRDL_0003,https://archive.org/details/BP_TRDL_0003/mode/2up?view=theater,https://archive.org/services/img/BP_TRDL_0003,The Strangers at Home; The Jubilee,1785-12-22,1785-12-22,Theatre Royal in Drury Lane,[unknown]; [unknown],comic opera; dramatic entertainment,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_05",https://archive.org/details/BP_TRDL_0003,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRDL_0004,https://archive.org/details/BP_TRDL_0004/mode/2up?view=theater,https://archive.org/services/img/BP_TRDL_0004,The Heiress; The Virgin Unmasked,1786-02-14,1786-02-14,Theatre Royal in Drury Lane,"[unknown]; Henry Fielding, esq.",comedy; farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_05",https://archive.org/details/BP_TRDL_0004,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRDL_0005,https://archive.org/details/BP_TRDL_0005/mode/2up?view=theater,https://archive.org/services/img/BP_TRDL_0005,The Heiress; The Romp,1786-05-12,1786-05-12,Theatre Royal in Drury Lane,[unknown]; [unknown],comedy; [unknown],"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_05",https://archive.org/details/BP_TRDL_0005,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0063,https://archive.org/details/BP_TRCG_0063/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0063,"Fontainville Forest; Harlequin and Faustus; Or, The Devil Will Have His Own",1794-04-26,1794-04-26,Theatre Royal; Covent Garden,[unknown]; [unknown],[unknown]; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box04, Folder_62",https://archive.org/details/BP_TRCG_0063,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0005,https://archive.org/details/BP_TRCG_0005/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0005,"The Travellers in Switzerland; Harlequin and Faustus; Or, The Devil Will Have His Own",1794-04-28,1794-04-28,Theatre Royal; Covent Garden,Mr. Shield; [unknown],comic opera; pantomime,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box02, Folder_07",https://archive.org/details/BP_TRCG_0005,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0065,https://archive.org/details/BP_TRCG_0065/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0065,"British Fortitude & Hibernian Friendship, Or, an Escape from France; The London Hermit; Or, Rambles in Dorsetshire; An Irishman's Tour through London, or Tully's Vocal and Rhetorical Description of Westminster Abbey, St. James', St. Paul's, The Tower, A Quarrel, A Masquerade, etc.",1794-04-29,1794-04-29,Theatre Royal; Covent Garden,[unknown]; [unknown]; Mr. Johnstone,musical drama; comedy; [unknown],"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box04, Folder_62",https://archive.org/details/BP_TRCG_0065,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0064,https://archive.org/details/BP_TRCG_0064/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0064,"Romeo and Juliet; Dermot and Kathlane; Or, the Irish Wedding; Patrick in Prussia",1794-04-30,1794-04-30,Theatre Royal; Covent Garden,Wm. Shakespeare; Mr. Byrn; [unknown],tragedy; pantomime ballet; compic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box04, Folder_62",https://archive.org/details/BP_TRCG_0064,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0007,https://archive.org/details/BP_TRCG_0007/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0007,"British Fortitude & Hibernian Friendship; Or, An Escape from France; Fontainville Forest; Netley Abbey",1794-05-01,1794-05-01,Theatre Royal; Covent Garden,Shield and Reeve; [unknown]; [unknown],musical drama; play in five acts; comic opera,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box02, Folder_07",https://archive.org/details/BP_TRCG_0007,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRCG_0006,https://archive.org/details/BP_TRCG_0006/mode/2up?view=theater,https://archive.org/services/img/BP_TRCG_0006,"Robin Hood; Naples Bay; Or, The British Seaman at Anchor; The Follies of a Day",1794-05-02,1794-05-02,Theatre Royal; Covent Garden,[unknown]; [unknown]; [unknown],comic opera; musical interlude; comedy,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box02, Folder_07",https://archive.org/details/BP_TRCG_0006,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
BP_TRH_0001,https://archive.org/details/BP_TRH_0001/mode/2up?view=theater,https://archive.org/services/img/BP_TRH_0001,Othello; The Deserter,1801-11-06,1801-11-06,Theatre Royal; Hull,Wm. Shakespeare; C. Dibdin,tragedy; musical farce,"English Playbill collection, Bruce Peel Special Collection, University of Alberta Library","Box01, Folder_01",https://archive.org/details/BP_TRH_0001,Public domain,https://creativecommons.org/publicdomain/mark/1.0/
